dataset,seed_index,implementation,compression_ratio,memory_bytes
high-prefix-similarity,22,Conventional,1,168400
high-prefix-similarity,22,Interned,1.04988,160400
high-prefix-similarity,22,BudgetSym,2.36866,71095
high-prefix-similarity,23,Conventional,1,168800
high-prefix-similarity,23,Interned,1.04975,160800
high-prefix-similarity,23,BudgetSym,2.37259,71146
high-prefix-similarity,24,Conventional,1,169177
high-prefix-similarity,24,Interned,1.04963,161177
high-prefix-similarity,24,BudgetSym,2.37635,71192
high-prefix-similarity,25,Conventional,1,168619
high-prefix-similarity,25,Interned,1.04981,160619
high-prefix-similarity,25,BudgetSym,2.37134,71107
high-prefix-similarity,26,Conventional,1,169012
high-prefix-similarity,26,Interned,1.04969,161012
high-prefix-similarity,26,BudgetSym,2.37426,71185
high-prefix-similarity,27,Conventional,1,168463
high-prefix-similarity,27,Interned,1.04986,160463
high-prefix-similarity,27,BudgetSym,2.36991,71084
high-prefix-similarity,28,Conventional,1,168400
high-prefix-similarity,28,Interned,1.04988,160400
high-prefix-similarity,28,BudgetSym,2.3683,71106
high-prefix-similarity,29,Conventional,1,168781
high-prefix-similarity,29,Interned,1.04976,160781
high-prefix-similarity,29,BudgetSym,2.37222,71149
random-identifiers,0,Conventional,1,140981
random-identifiers,0,Interned,1.06016,132981
random-identifiers,0,BudgetSym,1.34057,105165
random-identifiers,1,Conventional,1,141091
random-identifiers,1,Interned,1.06011,133091
random-identifiers,1,BudgetSym,1.34328,105035
random-identifiers,2,Conventional,1,140654
random-identifiers,2,Interned,1.06031,132654
random-identifiers,2,BudgetSym,1.34533,104550
random-identifiers,3,Conventional,1,141046
random-identifiers,3,Interned,1.06013,133046
random-identifiers,3,BudgetSym,1.34619,104774
random-identifiers,4,Conventional,1,140945
random-identifiers,4,Interned,1.06018,132945
random-identifiers,4,BudgetSym,1.34529,104769
random-identifiers,5,Conventional,1,140975
random-identifiers,5,Interned,1.06016,132975
random-identifiers,5,BudgetSym,1.35014,104415
random-identifiers,6,Conventional,1,141142
random-identifiers,6,Interned,1.06009,133142
random-identifiers,6,BudgetSym,1.3425,105134
random-identifiers,7,Conventional,1,140915
random-identifiers,7,Interned,1.06019,132915
random-identifiers,7,BudgetSym,1.34385,104859
random-identifiers,8,Conventional,1,140686
random-identifiers,8,Interned,1.06029,132686
random-identifiers,8,BudgetSym,1.35049,104174
random-identifiers,9,Conventional,1,141012
random-identifiers,9,Interned,1.06014,133012
random-identifiers,9,BudgetSym,1.35033,104428
random-identifiers,10,Conventional,1,141128
random-identifiers,10,Interned,1.06009,133128
random-identifiers,10,BudgetSym,1.34285,105096
random-identifiers,11,Conventional,1,141315
random-identifiers,11,Interned,1.06001,133315
random-identifiers,11,BudgetSym,1.33222,106075
random-identifiers,12,Conventional,1,141431
random-identifiers,12,Interned,1.05996,133431
random-identifiers,12,BudgetSym,1.33185,106191
random-identifiers,13,Conventional,1,140617
random-identifiers,13,Interned,1.06032,132617
random-identifiers,13,BudgetSym,1.34391,104633
random-identifiers,14,Conventional,1,141040
random-identifiers,14,Interned,1.06013,133040
random-identifiers,14,BudgetSym,1.34007,105248
random-identifiers,15,Conventional,1,140901
random-identifiers,15,Interned,1.0602,132901
random-identifiers,15,BudgetSym,1.34144,105037
random-identifiers,16,Conventional,1,141078
random-identifiers,16,Interned,1.06012,133078
random-identifiers,16,BudgetSym,1.33721,105502
random-identifiers,17,Conventional,1,140964
random-identifiers,17,Interned,1.06017,132964
random-identifiers,17,BudgetSym,1.34032,105172
random-identifiers,18,Conventional,1,141345
random-identifiers,18,Interned,1.05999,133345
random-identifiers,18,BudgetSym,1.33605,105793
random-identifiers,19,Conventional,1,141479
random-identifiers,19,Interned,1.05993,133479
random-identifiers,19,BudgetSym,1.33381,106071
random-identifiers,20,Conventional,1,141132
random-identifiers,20,Interned,1.06009,133132
random-identifiers,20,BudgetSym,1.33552,105676
random-identifiers,21,Conventional,1,141197
random-identifiers,21,Interned,1.06006,133197
